,lat,long,city,state,country,suburb
873,48.1819,8.6358,Rottweil,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Rottweil
874,49.8517,7.8725,Bad Kreuznach,Rhineland-Palatinate,Germany,Winzenheim
875,49.6478,7.8842,Ruppertsecken,Rhineland-Palatinate,Germany,Nordpfälzer Land
876,48.9578,9.0719,Sachsenheim,Baden-Württemberg,Germany,Großsachsenheim
877,48.7842,13.3158,Lindau,Bavaria,Germany,Thurmansbang (VGem)
878,52.0792,9.5531,Salzhemmendorf,Lower Saxony,Germany,
879,52.1056,8.7531,Bad Salzuflen,North Rhine – Westphalia,Germany,Bad Salzuflen
880,52.8581,11.1442,Salzwedel,Saxony-Anhalt,Germany,Altstadt
881,50.3531,10.0042,Waldberg,Bavaria,Germany,
882,54.3294,8.6028,Ording,Schleswig-Holstein,Germany,Sankt Peter-Ording
883,49.9203,8.9681,Schaafheim,Hesse,Germany,Schaafheim
884,47.9608,7.7125,Schallstadt,Baden-Württemberg,Germany,VVG der Gemeinde Schallstadt
885,51.7667,10.655,Wernigerode,Saxony-Anhalt,Germany,
886,51.8231,11.7114,Bernburg,Saxony-Anhalt,Germany,
887,50.5706,11.8056,Schleiz,Thuringia,Germany,Brandenstein
888,50.3456,9.555,Herolz,Hesse,Germany,Schlüchtern
889,50.7264,10.4553,Schmalkalden,Thuringia,Germany,Schmalkalden
890,49.4231,6.8403,Schmelz,Saarland,Germany,
891,52.935,8.2356,Großenkneten,Lower Saxony,Germany,
892,50.6556,10.7708,Suhl,Thuringia,Germany,
893,50.3,6.4169,Roth bei Prüm,Rhineland-Palatinate,Germany,Prüm
894,50.2056,12.145,Selb,Bavaria,Germany,
895,47.6469,7.8442,Schopfheim,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Schopfheim
896,49.1656,12.6192,Knöbling,Bavaria,Germany,
897,50.4939,9.1239,Schotten,Hesse,Germany,Schotten
898,49.0828,9.6881,Schwäbisch Hall,Baden-Württemberg,Germany,Bibersfeld
899,49.3289,12.0883,Schwandorf,Bavaria,Germany,Ettmannsdorf
900,50.6456,11.1944,Schwarzburg,Thuringia,Germany,Schwarzatal
901,52.8928,11.7306,Seehausen,Saxony-Anhalt,Germany,Seehausen
902,51.9056,10.19,Seesen,Lower Saxony,Germany,
903,50.8544,7.9975,Siegen,North Rhine – Westphalia,Germany,Niederschelden
904,48.0728,9.1953,Sigmaringen,Baden-Württemberg,Germany,Gemeindeverwaltungsverband Sigmaringen
905,47.5783,9.7417,Sigmarszell,Bavaria,Germany,Sigmarszell
906,48.2728,13.0289,Simbach,Bavaria,Germany,Erlach
907,50.0017,7.5969,Wahlbach,Rhineland-Palatinate,Germany,Simmern-Rheinböllen
908,51.1408,7.0942,Solingen,North Rhine – Westphalia,Germany,Höhscheid/Burg
909,52.9617,9.7967,Soltau,Lower Saxony,Germany,
910,51.0617,9.9275,Sontra,Hesse,Germany,Sontra
911,51.2814,9.9858,Bad Sooden-Allendorf,Hesse,Germany,Allendorf
912,50.9208,8.5278,Biedenkopf,Hesse,Germany,
913,50.1542,11.7417,Querenbach,Bavaria,Germany,
914,53.6956,8.875,Steinau,Lower Saxony,Germany,Samtgemeinde Land Hadeln
915,53.5528,9.6092,Mittelnkirchen,Lower Saxony,Germany,Samtgemeinde Lühe
916,47.86,9.0164,Stockach,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Stockach
917,54.6667,9.8044,Wagersrott,Schleswig-Holstein,Germany,Süderbrarup
918,50.6394,10.0231,Tann,Hesse,Germany,Tann (Rhön)
919,50.9789,12.3444,Tegkwitz,Thuringia,Germany,Rositz
920,53.7625,12.5581,Teterow,Mecklenburg-Vorpommern,Germany,
921,53.2775,8.9867,Worpswede,Lower Saxony,Germany,
922,50.4014,11.3903,Teuschnitz,Bavaria,Germany,Teuschnitz (VGem)
923,49.4744,7.0392,Tholey,Saarland,Germany,
924,49.8819,9.8464,Thüngersheim,Bavaria,Germany,
925,49.8589,12.3556,Tirschenreuth,Bavaria,Germany,
926,51.2908,6.445,Tönisvorst,North Rhine – Westphalia,Germany,
927,54.0681,12.7689,Tribsees,Mecklenburg-Vorpommern,Germany,Recknitz-Trebeltal
928,49.7325,6.6131,Trier,Rhineland-Palatinate,Germany,Euren
929,48.2819,9.3144,Trochtelfingen,Baden-Württemberg,Germany,Hohenstein
930,48.0317,12.5408,Nunbichl,Bavaria,Germany,Trostberg
931,48.0092,8.8189,Tuttlingen,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Tuttlingen
932,51.3356,8.9142,Mühlhausen,Hesse,Germany,Twistetal
933,53.7458,14.0694,Ueckermünde,Mecklenburg-Vorpommern,Germany,Klockenberg
934,52.9428,10.53,Uelzen,Lower Saxony,Germany,Veerßen
935,49.5753,10.1928,Gollhofen,Bavaria,Germany,Uffenheim (VGem)
936,52.1617,11.1767,Ummendorf,Saxony-Anhalt,Germany,Obere Aller
937,48.0458,8.4617,Villingen-Schwenningen,Baden-Württemberg,Germany,Villingen
938,50.675,11.2817,Bad Blankenburg,Thuringia,Germany,
939,49.2456,8.5381,Waghäusel,Baden-Württemberg,Germany,Kirrlach
940,51.6194,9.5769,Vernawahlshausen,Hesse,Germany,Oberförsterei Oedelsheim
941,53.9214,10.2306,Wittenborn,Schleswig-Holstein,Germany,Leezen
942,50.2608,8.3608,Niederems,Hesse,Germany,Waldems
943,50.0106,12.2992,Waldsassen,Bavaria,Germany,
944,50.8975,10.5494,,Thuringia,Germany,Ibenhain
945,53.7883,7.9075,Wangerooge,Lower Saxony,Germany,
946,51.5053,9.1128,Warburg,North Rhine – Westphalia,Germany,Warburg
947,53.5214,12.6692,Waren (Müritz),Mecklenburg-Vorpommern,Germany,
948,50.0367,7.3056,Blankenrath,Rhineland-Palatinate,Germany,Zell (Mosel)
949,51.0192,11.3556,Weimar,Thuringia,Germany,Schöndorf
950,49.555,6.8125,Weiskirchen,Saarland,Germany,
951,48.8467,8.9089,Flacht,Baden-Württemberg,Germany,
952,51.2178,11.9725,Weißenfels,Saxony-Anhalt,Germany,Neustadt
953,51.2131,10.9967,Weißensee,Thuringia,Germany,
954,48.1892,7.6983,Weisweil,Baden-Württemberg,Germany,Verwaltungsverband Kenzingen-Herbolzheim
955,51.8478,10.7694,Wernigerode,Saxony-Anhalt,Germany,Charlottenlust
956,50.9056,11.7992,Bobeck,Thuringia,Germany,Bad Klosterlausnitz
957,47.8833,11.1589,Wielenbach,Bavaria,Germany,
958,50.1331,8.3178,Wiesbaden,Hesse,Germany,
959,52.1219,12.46,Wiesenburg/Mark,Brandenburg,Germany,
960,51.8308,6.5358,Bocholt,North Rhine – Westphalia,Germany,
961,48.7856,8.5769,Bad Wildbad,Baden-Württemberg,Germany,Calmbach
962,51.4803,7.2706,Bochum,North Rhine – Westphalia,Germany,Laer
963,48.6525,8.6808,Neubulach,Baden-Württemberg,Germany,Oberhaugstett
964,48.8042,9.4706,Winterbach,Baden-Württemberg,Germany,Vereinbarte Verwaltungsgemeinschaft der Stadt Schorndorf
965,53.8944,11.4253,Wismar,Mecklenburg-Vorpommern,Germany,Lübsche Burg
966,51.8903,12.6464,Wittenberg,Saxony-Anhalt,Germany,Teuchel
967,53.55,7.6667,Wittmund,Lower Saxony,Germany,
968,53.1875,12.4964,Wittstock/Dosse,Brandenburg,Germany,
969,48.2958,8.24,Wolfach,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Wolfach
970,52.3975,10.6908,Wolfsburg,Lower Saxony,Germany,Ehmen
971,49.6056,8.3667,Worms,Rhineland-Palatinate,Germany,Karl-Marx-Siedlung
972,52.4581,9.4281,Wunstorf,Lower Saxony,Germany,
973,51.2258,7.1058,Wuppertal,North Rhine – Westphalia,Germany,Gemarkung Cronenberg
974,47.6789,8.3806,Ofteringen,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Wutöschingen
975,54.6942,8.5281,Wrixum,Schleswig-Holstein,Germany,Föhr-Amrum
976,52.9681,13.3281,Zehdenick,Brandenburg,Germany,
977,51.0539,12.1442,Zeitz,Saxony-Anhalt,Germany,
978,50.7328,13.7531,Altenberg,Saxony,Germany,Altenberg
979,50.6892,12.4342,Lichtentanne,Saxony,Germany,
980,49.0292,13.2403,Zwiesel,Bavaria,Germany,
981,52.6206,12.7889,Nauen,Brandenburg,Germany,
982,51.1331,9.52,Melsungen,Hesse,Germany,Melsungen
983,53.3931,10.6892,Boizenburg/Elbe,Mecklenburg-Vorpommern,Germany,
984,54.6408,10.0244,Schönhagen,Schleswig-Holstein,Germany,Schlei-Ostsee
985,47.6758,12.4708,Blindau,Bavaria,Germany,
986,50.7364,7.1939,Bonn,North Rhine – Westphalia,Germany,Bonn-Beuel
987,48.0744,10.2014,Boos,Bavaria,Germany,Boos
988,53.2153,10.4717,Wendisch Evern,Lower Saxony,Germany,Samtgemeinde Ostheide
989,54.3208,9.8058,Ostenfeld,Schleswig-Holstein,Germany,Eiderkanal
990,53.3856,14.3742,Grambow,Mecklenburg-Vorpommern,Germany,Löcknitz-Penkun
991,53.8556,13.4967,Medow,Mecklenburg-Vorpommern,Germany,Anklam-Land
992,51.0606,14.4281,Sohland an der Spree,Saxony,Germany,
993,53.6417,8.0828,Wangerland,Lower Saxony,Germany,Wangerland
994,49.2256,10.6094,Weiherschneidbach,Bavaria,Germany,Triesdorf (VGem)
995,52.9553,7.3192,Dörpen,Lower Saxony,Germany,Samtgemeinde Dörpen
996,54.1667,10.3539,Dörnick,Schleswig-Holstein,Germany,Großer Plöner See
997,52.0206,14.7269,Neißemünde,Brandenburg,Germany,Neuzelle
998,51.8742,6.8867,Borken,North Rhine – Westphalia,Germany,Gemen-Kirchspiel
999,50.2,7.8656,Nastätten,Rhineland-Palatinate,Germany,Nastätten
1000,51.8678,9.2719,Rischenau,North Rhine – Westphalia,Germany,Lügde
1001,54.2503,13.0431,Wendorf,Mecklenburg-Vorpommern,Germany,Niepars
1002,49.2417,6.935,Saarbrücken,Saarland,Germany,Burbach
1003,47.6853,9.4417,Friedrichshafen,Baden-Württemberg,Germany,Ailingen
1004,49.0217,9.6042,Großerlach,Baden-Württemberg,Germany,Gemeindeverwaltungsverband Sulzbach
1005,49.3333,9.705,Ingelfingen,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Künzelsau
